category,badge_name,age_group,badge_tier,metric_code,threshold,threshold type,file_name,file_type
,,,,,,,,
general,first_session,youth,standard,general_first_session_youth_standard,1,session_count,general_first_session_youth_standard.png,png
general,10_sessions,youth,standard,general_10_sessions_youth_standard,10,session_count,general_10_sessions_youth_standard.png,png
general,20_sessions,youth,standard,general_20_sessions_youth_standard,20,session_count,general_20_sessions_youth_standard.png,png
general,50_sessions,youth,standard,general_50_sessions_youth_standard,50,session_count,general_50_sessions_youth_standard.png,png
general,100_sessions,youth,standard,general_100_sessions_youth_standard,100,session_count,general_100_sessions_youth_standard.png,png
general,200_sessions,youth,standard,general_200_sessions_youth_standard,200,session_count,general_200_sessions_youth_standard.png,png
general,500_sessions,youth,standard,general_500_sessions_youth_standard,500,session_count,general_500_sessions_youth_standard.png,png
,,,,,,,,
general,first_session,all_star,standard,general_first_session_all_star_standard,1,session_count,general_first_session_all_star_standard.png,png
general,10_sessions,all_star,standard,general_10_sessions_all_star_standard,10,session_count,general_10_sessions_all_star_standard.png,png
general,20_sessions,all_star,standard,general_20_sessions_all_star_standard,20,session_count,general_20_sessions_all_star_standard.png,png
general,50_sessions,all_star,standard,general_50_sessions_all_star_standard,50,session_count,general_50_sessions_all_star_standard.png,png
general,100_sessions,all_star,standard,general_100_sessions_all_star_standard,100,session_count,general_100_sessions_all_star_standard.png,png
general,200_sessions,all_star,standard,general_200_sessions_all_star_standard,200,session_count,general_200_sessions_all_star_standard.png,png
general,500_sessions,all_star,standard,general_500_sessions_all_star_standard,500,session_count,general_500_sessions_all_star_standard.png,png
,,,,,,,,
general,first_session,pro,standard,general_first_session_pro_standard,1,session_count,general_first_session_pro_standard.png,png
general,10_sessions,pro,standard,general_10_sessions_pro_standard,10,session_count,general_10_sessions_pro_standard.png,png
general,20_sessions,pro,standard,general_20_sessions_pro_standard,20,session_count,general_20_sessions_pro_standard.png,png
general,50_sessions,pro,standard,general_50_sessions_pro_standard,50,session_count,general_50_sessions_pro_standard.png,png
general,100_sessions,pro,standard,general_100_sessions_pro_standard,100,session_count,general_100_sessions_pro_standard.png,png
general,200_sessions,pro,standard,general_200_sessions_pro_standard,200,session_count,general_200_sessions_pro_standard.png,png
general,500_sessions,pro,standard,general_500_sessions_pro_standard,500,session_count,general_500_sessions_pro_standard.png,png
,,,,,,,,
